Drug,Number_of_Genes,Target_Genes,Sources
COMPOUND 5B  [PMID: 31287314],1,CA4,GuideToPharmacology
COMPOUND 5A [PMID: 31287314],1,CA4,GuideToPharmacology
COMPOUND 37 [PMID: 24418773],1,PROC,GuideToPharmacology
COMPOUND 22A [PMID: 21688779],1,GRM4,GuideToPharmacology
COMPOUND 1B [PMID: 18078750],1,CPA1,GuideToPharmacology
COMPOUND 15 [PMID: 22017539],1,MMP13,GuideToPharmacology
COMPOUND 11 [PMID: 20638279],1,GRM4,GuideToPharmacology
COMPOUND 1 [PMID: 22465637],1,GRM4,GuideToPharmacology
COLCHICINE,1,GFAP,NCI
COBALT,1,MMP1,NCI
CLOMIPRAMINE,1,ADRA1A,GuideToPharmacology
CL82198,1,MMP13,GuideToPharmacology
BUCINDOLOL HYDROCHLORIDE,1,ADRA1A,ChEMBL
BODIPY FL-PRAZOSIN,1,ADRA1A,GuideToPharmacology
MIANSERIN,1,ADRA1A,GuideToPharmacology
AMIODARONE HYDROCHLORIDE,1,ADRA1A,TEND
AMIFAMPRIDINE,1,KCNB1,ChEMBL
ALPHA-TOCOPHEROL,1,MMP1,NCI
ALFUZOSIN HYDROCHLORIDE,1,ADRA1A,TTD
ALFUZOSIN,1,ADRA1A,TEND
ALBUTEROL SULFATE,1,PAPPA2,PharmGKB
ADX88178,1,GRM4,GuideToPharmacology
ADENOVIRUS VECTOR,1,GFAP,NCI
ACETAZOLAMIDE SODIUM,1,CA4,ChEMBL
ACETAZOLAMIDE,1,CA4,GuideToPharmacology
ACETALDEHYDE,1,ADH1A,PharmGKB
ABACAVIR,1,ADH1A,PharmGKB
A61603,1,ADRA1A,GuideToPharmacology
A-123189,1,ADRA1A,GuideToPharmacology
A-119637,1,ADRA1A,GuideToPharmacology
5-METHYLURAPIDIL,1,ADRA1A,GuideToPharmacology
"5-(2-ETHOXYETHYL)-5-[4-(4-FLUOROPHENOXY)PHENOXY]PYRIMIDINE-2,4,6(1H,3H,5H)-TRIONE",1,MMP13,GuideToPharmacology
3K3A-ACTIVATED PROTEIN C,1,PROC,TTD
"3-BICYCLO[2.2.1]HEPT-2-YL-BENZENE-1,2-DIOL",1,KCNB1,GuideToPharmacology
2-APB,1,TRPM3,GuideToPharmacology
(S)-LIQUIRITIGENIN,1,TRPM3,GuideToPharmacology
"(S)-3,4-DCPG",1,GRM4,GuideToPharmacology
"(R,S)-4-PPG",1,GRM4,GuideToPharmacology
(+)-CYCLAZOSIN,1,ADRA1A,GuideToPharmacology
AMIFAMPRIDINE PHOSPHATE,1,KCNB1,ChEMBL
AMITRIPTYLINE HYDROCHLORIDE,1,ADRA1A,GuideToPharmacology
BMY-7378,1,ADRA1A,GuideToPharmacology
AMPHETAMINE SULFATE,1,GFAP,NCI
BIIE0246,1,NPY2R,GuideToPharmacology
