Gene,Drug,Interaction,Source
ADRA1A,ALFUZOSIN,inhibitor,TEND
ADRA1A,BMY-7378,inhibitor,GuideToPharmacology
ADRA1A,METARAMINOL BITARTRATE,agonist,ChEMBL
ADRA1A,[125I]HEAT (BE2254),inhibitor,GuideToPharmacology
ADRA1A,(+)-CYCLAZOSIN,inhibitor,GuideToPharmacology
ADRA1A,OLANZAPINE,Unknown,TdgClinicalTrial
ADRA1A,PHENYLPROPANOLAMINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,SPIPERONE,inhibitor,GuideToPharmacology
ADRA1A,DOXAZOSIN MESYLATE,inhibitor,TEND
ADRA1A,TRIFLUOPERAZINE,Unknown,TEND
ADRA1A,CIRAZOLINE,agonist,GuideToPharmacology
ADRA1A,NIGULDIPINE,inhibitor,GuideToPharmacology
ADRA1A,NOREPINEPHRINE BITARTRATE,agonist,ChEMBL
ADRA1A,PROMAZINE,Unknown,TEND
ADRA1A,PHENTOLAMINE,inhibitor,TdgClinicalTrial
ADRA1A,MOXISYLYTE,inhibitor,ChEMBL
ADRA1A,PHENTOLAMINE MESYLATE,inhibitor,ChEMBL
ADRA1A,TRIMIPRAMINE MALEATE,inhibitor,ChEMBL
ALDH1L1,METHIONINE,Unknown,PharmGKB
ALDH1L1,METHYLPHENIDATE,Unknown,PharmGKB
ADH1A,FOMEPIZOLE,inhibitor,TEND
ADH1A,ACETALDEHYDE,Unknown,PharmGKB
ADH1A,CYTARABINE,Unknown,PharmGKB
ADH1A,ABACAVIR,Unknown,PharmGKB
ADH1A,FLUDARABINE,Unknown,PharmGKB
ADH1A,IDARUBICIN,Unknown,PharmGKB
ADH1A,NITREFAZOLE,inhibitor,ChEMBL
ADH1A,GEMTUZUMAB OZOGAMICIN,Unknown,PharmGKB
AQP7,AUPHEN,inhibitor,GuideToPharmacology
AQP7,HG2+,inhibitor,GuideToPharmacology
AQP7,"INSULIN, REGULAR, HUMAN",Unknown,NCI
ABCB5,HALOPERIDOL DECANOATE,Unknown,PharmGKB
LHCGR,CHORIONIC GONADOTROPIN,agonist,ChEMBL
LHCGR,LUTROPIN ALFA,agonist,TEND
LHCGR,CHORIOGONADOTROPIN ALFA,Unknown,TEND
LHCGR,HCG,agonist,GuideToPharmacology
LHCGR,UROFOLLITROPIN,agonist,ChEMBL
LHCGR,RELUGOLIX,Unknown,TTD
LHCGR,[125I]LH,agonist,GuideToPharmacology
