Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
KISS1R,2.887310938924339,0.7375622807017543,1.161707820517298,1.4141714103546502e-28,27.849497946932736,Upregulated,7.355697758951347e-28
LRTM2,2.602959252506837,0.5497552631578947,1.2171419322072137,2.2041860307301547e-28,27.65675175432565,Upregulated,1.1332817232880059e-27
CIB3,2.1489515952597995,0.5051684210526316,1.0649466543665425,3.889633676099084e-28,27.41009129840184,Upregulated,1.9760994647442265e-27
KLKP1,1.9869732907930724,0.4772149122807018,1.0158046057391648,4.0272388387242885e-28,27.39499261343598,Upregulated,2.0439854971325005e-27
ALAS2,0.4487710118505014,2.1241991228070174,-1.1086568223783595,1.1484436560368544e-27,26.93989030693176,Downregulated,5.708849457248577e-27
MYT1,3.6779649954421143,1.2097912280701757,1.081970990047415,1.6062990527875494e-26,25.794173596738062,Upregulated,7.542845277613996e-26
IGFL3,1.4253813126709207,0.1282254385964912,1.104156210704781,5.449141350111281e-26,25.26367192639996,Upregulated,2.499907752352729e-25
C1orf230,2.2257967183226985,0.4565061403508771,1.1471437426917246,1.0718950774116648e-24,23.96984772353434,Upregulated,4.65243254529841e-24
WIT1,2.098167547857794,0.4088868421052631,1.1368594236744065,1.5548214296695711e-24,23.80831948223996,Upregulated,6.689120693863431e-24
ARHGAP36,1.9747381039197816,5.339098245614035,-1.0915149684981684,1.0635944012723918e-23,22.973223957447,Downregulated,4.382017471025929e-23
NMU,2.650727803099362,0.4855429824561403,1.2971937575015091,2.0327779974724202e-23,22.69191004867986,Upregulated,8.263946987744314e-23
IL19,1.5097494074749318,0.2368421052631578,1.020881983455348,3.385473386994725e-23,22.470380595816277,Upregulated,1.363621122915474e-22
KRT37,1.8163429352780311,0.3463166666666666,1.0648052304616524,4.952227626332736e-23,22.30519940142973,Upregulated,1.9776158951295676e-22
CAPSL,2.788465086599818,0.8250508771929824,1.0536767697312197,9.277627761806296e-23,22.032563056287675,Upregulated,3.6586531372206302e-22
SYT5,2.137504557885141,0.5649605263157895,1.0034912869943993,1.5960124530754817e-22,21.79696372433813,Upregulated,6.229303357726167e-22
LHFPL5,2.188844576116682,0.5395043859649123,1.0505678049801086,2.5871526095106217e-22,21.58717795260795,Upregulated,9.99891624119975e-22
TMEM215,2.4252943482224243,0.705361403508772,1.0061504591332568,9.362667143886805e-22,21.028600416126142,Upregulated,3.524950604511207e-21
CDC20B,2.7021117593436643,0.574961403508772,1.233031974026464,1.4398110481742851e-18,17.841694498265575,Upregulated,4.66750684020497e-18
CCL7,1.8979846855059253,0.4463894736842105,1.002593887471304,4.968821580518771e-18,17.30374659753648,Upregulated,1.5708331852178992e-17
CGA,2.5618200546946217,0.3845140350877193,1.3632349537949109,1.2416945399531485e-17,16.905985228578725,Upregulated,3.854829714991402e-17
TLX1,2.1702018231540565,0.4508368421052632,1.1276894027026942,3.0998296127183666e-17,16.50866217722698,Upregulated,9.435063298607571e-17
NCRNA00052,2.144912306289881,0.3610131578947368,1.20833877462779,1.2552923953678184e-16,15.901255102147696,Upregulated,3.698500699899729e-16
TNNI3,2.452796809480401,0.7028929824561403,1.0197776644883676,1.455166284731629e-16,15.837087376152263,Upregulated,4.2732890610127806e-16
CST5,2.279669826800365,0.3671868421052632,1.262340164553158,3.4366502418171496e-16,15.463864665063271,Upregulated,9.914900149593323e-16
FABP6,1.8049044667274383,0.3205052631578947,1.0868615827019683,5.448977347308356e-16,15.26368499755734,Upregulated,1.5586945094083954e-15
LST-3TM12,0.3838578851412945,1.9519464912280704,-1.0929707770109502,6.797565936636458e-16,15.167646571047785,Downregulated,1.9355621176025865e-15
HOXB13,3.5501970829535097,0.6880850877192983,1.4305414094573774,6.800053126967437e-16,15.167487694255724,Upregulated,1.9360018124620924e-15
C17orf93,1.270211850501367,0.0799798245614035,1.071822571290865,1.0327259691035515e-14,13.986014901998578,Upregulated,2.7667837851619358e-14
CA9,3.405524794895169,0.9868368421052632,1.1488404819237616,1.3215774671914292e-14,13.878907374652815,Upregulated,3.5245499352351316e-14
ABCC13,2.57507128532361,0.6589403508771929,1.1077099954178973,1.3004336283985518e-10,9.885911808447602,Upregulated,2.8688912949733793e-10
SPDYC,1.89604257064722,0.2557728070175438,1.2055073325089845,3.494013117864674e-10,9.456675468842056,Upregulated,7.54439307002122e-10
NKX2-2,1.7208884229717412,0.3237719298245614,1.0394232120395908,9.295161108034755e-10,9.031743078433866,Upregulated,1.96205693551258e-09
MAGEA1,1.4329024612579764,0.1726842105263158,1.0528639160201023,1.891669859624653e-09,8.723154655806292,Upregulated,3.935946307701847e-09
CASP14,2.1297678213309026,0.5445087719298246,1.0189075715763176,6.096298783123662e-07,6.214933756123502,Upregulated,1.1110254240348759e-06
